tweets,ClassLabel
nigga you know we hacky sack hoe nahi throw no look pass lmao,1
glad im getting outta atlanta nothing but a bunch of nigga in outta jail dumb bitch with mad kid fuckin em,1
this isnt ghetto it smart im doing this idc,2
i would wife a hoe only cuz we wouldnt care that we cheating in each other why force the relationship in the first place,1
being single isnt an excuse to be a hoe,1
white boy power bitch black power bitch,1
let get drunk get blowed spit hit park blunts fuck hoe bro white dude have no chill,1
bitch where u been around the world and back where you been,1
if i dont get my dick sucked at yo party by a bad bitch i mfr gone set it off by,1
oo mf is soooo cute but he probably ha hoe on him a lot,1
in every cartoon their salway a saving these hoe lmao lmao damn captain save a hoe,1
who want to get there nose in these bad bois then scally chav sock fetish stinking hot sox and leg,2
i wish i wa a bitch like my brother keezyooooowibet you do,1
if you dressed up a a cat for halloween you are basic or a pussy,1
can porn hub just get a gaming stream feature o these dumb bitch can gtfogetonitkatielt3,1
stop being scared to choke her during sex u bitch as nigga shell like it say the guy who hit woman out of bed foh,1
ha well i guess i make them hoe loyal bro theyll never be loyal that y they hoe my nig,1
oh man its5amyouoffamollyho where the fuck ya seed at fixed,1
your e not a man if you refer to every girl a a bitch,1
lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga,1
peel up peel up bring it backup rewind back where im from they move shaq from the line oooo ow who tf said that trash,2
ioioalurecordhovinesaipe hahahaha lolanywaaaaaayshaha,1
naw it my old tape new cover my upcoming mixtape is king of the hill yea him waiting on that hoe mayne,1
ol dirty foot as bitch this wa too funny to me,1
thats where i get my yellow flag for being amazing hell yeah n iggy,1
dont got time for bitch to be act in iffy,1
ucf pink party come on stay alive knight nation this is still the early bird special come at me ut,2
these hoe saint loyal not heya in tsmf h wonder why nobody decent want them,1
br uh you stud keep thinking im soft a hell a sky a girl how many time she screamed she wa mybitchohokaystfubyehoe,1
dry pussy bitch always blame it on the condom,1
shut yo bitch as up,1
gucci mane in jail and dropping mixtapes every month and you hoe cant even text back,1
you love these hoe more then money wats wrong these nigga,1
a loyal bitch from the burbs without daddy issue is like finding a holographic mewtwo sounding like me over there lol,1
easy cum easy hoe thats a fact,1
charlie sheen is too real major fucking respect for charlie sheen,1
wish i had a bae you got all the hoe tho,1
fuck t werking bitch can you cook,1
bitch wtf,1
shut up zoe fight me pussy for zoe im goodman you are good maam move along now,1
lmao fucking snake bitch em,1
big booty hoe everywhere sheesh damn,1
stay tuned to for an update on the report that 1bwillbeout810weeksbum,2
i play soccer cheat on girl and wear khaki coloured cargo shaircut8221yeslmfao,2
oregon choke every year get off the field trash as program rft,1
def not cowboy lol terrell owen wa the best eagle cowboy ever dude cried like a bitch on tv over romo,1
lmfao ooo i hate black people this is why there s black people and nigger,0
how could u do this to me bitch potent,1
a pissed lad past out i would lick his dirty sol while he slept,2
love frat boy w soft long sol,2
sexy lad with hot sol and arch,2
nah fami gotta cheat with the hoe depends on the female i feel,1
i got hick lol,2
this new twitter is confusing the shit out of me go back to south america bitch,1
to to mean as or vagina i think pussy cause to tos anti is like nasty pussy,1
but what if he actually doe choose the ugly bitch over you her as must be fat,1
bitch couldnt kill my vibe if ya tried dis why i love miley,1
im tired of bitch saying i look mean nigga you big af wear tight shirt and grim everybody,1
10 bird your grandkids may never see thanks to climate change climate,2
stay beautiful you bitch,1
wutkindarpurpleceeeleee man this gurl wa jus play in on the stupid hoe track but instill shit ted on sum gurls,1
money getting taller and bitch getting blurry,1
i a int never seen a bitch so obsessed with they nigga im obsessed with mine,1
kobe stay talking trash but let not forget i meant to do this one smh,1
at least im not a nigger lmfao,0
people always asking me what im mixed with shea bad asian bitch lol,1
ariza is a snake and a coward but at least he isnt a cripple like your hero roach lmao o,0
foster home for imaginary trash who achill that show wa everything tf,2
i am low key tired if you tired be quiet and go to sleep hoe,1
stop bringing weird nigger into my mention,1
we dont love these hoe,1
if yo girl cant have home boy you aol weak bitch as nigga,1
i think worst advice i gave you wa dont be a pussy and speed up lol,1
quote this tweet with your favorite animal pussy,1
i hate when stripper tell you theyre dancer shoe ballet dancer dont pop their pussy to beethoven you a stripper,1
andrew bryant p off ha double vision after 2beerspoffdoublepussysmh,1
when bit chest werk on the computer me in ya in ya damn,1
prince this is art8221nobodytak in his bitch,1
61 of welfare government aid is claimed by white people soy all black slander is trash now,2
these bitch dont care they just play that role,1
it took a while for you to find me but i wa hiding in the lime tree dis bitchin da wrong tree bro,1
drake new shoe that will be released by nike jordan yes there glitter on the shoe dude a fag,0
in nadi ghetto you alone lmao o,2
hoe austin teach u austin it each u how to get curved thats all i know,2
bitch cant cook but know how to suck dick so to the one that can do both,1
fat hoe get chose lol,1
hoe saint loyal well theyre hoe no one expects them to be loyal,1
ol bitch as,1
bru him tired of nigga re tweet in miley cyrus naked that bitch a int no type of bad lmao oo,1
just because tony romo at the mavs game dont mean he still not a bitch lma of uk them cowgirl lol bitch fuck you,1
holy shit freddie highmore wa in charlie and the chocolate factory me roll on the floor laughing,1
i dont want to have sex with my gf because i feel like im using her anonymous what a faggot,1
one of your follower with this somebody bitch if you dont,1
if ya bitch always bitching clearly she care or just an annoying bitch,1
these catfish hoe thinkin they slick but nigga catching on,1
cant worry about a bitch that a int worried bout me real,1
side hoe are for insecure nigga that cant handle are alone,1
lmao this bitch come scooting in the tent like she about to fuck some shit up,1
my cousin said he share hoe with his brother she said sharing is caring and he love his brother,1
im hungry bution n wanna spend my money on food broke hoe problem,1
de se hoe bely into all of u nigga,1
oh yeah fuck that bitch,1
eli manning just threw his nfl leading 27th interception of the season lmao trash,2
usc senior rb anthony brown call head coach steve sarkisian a racist and quits team he a bitch,2
guess what i also have zero time for your man plaining adios stfu pussy,1
chilling sexy scally lad,2
i a int sharing no bitch if you mine you mine,1
money only impress the simple broke bitch,1
pisces will never be anybody s bitch they dont let people control or change them rigg hhh t,1
tuku hoi dk blah blah blah,2
im not mad cuhhahahasuuretukuhoita,2
these hoe is crazy,1
you a int ever gonna be a slice bitch kevin hart,1
oomfsofuckinfinethodam her dont be no bitch,1
i wonder if the girl that gave head to 24boys for a drink in magaluf ha twitter she probly sends nude for fag,1
news at question yeah bitch yeah bitch call me a may be b steve oc later d jesse pink man,1
hickie sin between her thigh right by her pussy gtgtgt it only right,1
would you still love me when im no longer young and beautiful no ugly monkey as,1
y all come through the front bitch i a int coming,1
faggot bitch,1
yea i mon my i pad i dont work this friday let ball this faggotupiwork25,1
this scally lad would get it,2
gerry s halloween party halloween wa yesterday stupid nigger,0
chr u still up a hot tho walk up to teacher with test drop test in that bitch fo head,1
i love eating pussy lol i never get full lol i can eat that shit forever lol and ever,1
no slush e shoe nasty anyway fam them hoe taste like med,1
no slush e shoe nasty anyway fam,1
bobby bitch by be getting me live a fuck hell yea i play that hoe before my work out,1
yo bitch is gucci man ert my bitch a toner,1
i can ride your bitch with no handlebar,1
and if you ain tahoe get up out my trap houss see eee,1
15sadtv character death were still bitter over ned stark wa the man,2
these harbor bitch are all party bu shoe lol all,1
pussy love it,1
ultraviolence video it coming you little bitch mtv hottest lana del rey bitchy promo,1
on my way to fuck your bitch lmfao kitty copter,1
a smuggler explains how he helped fighter along the jihadi highway,2
aww their avis look so cute together do i gotta get ike avion this bitch,1
it simple dont be a hoe dont worry about being exposed fight me why,1
why this bitch boosting herself her size isnt exactly the most healthy tho,1
bet not be no bitch kim bye,1
damn near gotta protect my tweet s stalker being annoying you got that dope dick drive these bitch loco,1
im making ma rack my girlfriend aye b you pull in hoe just like o taught you,1
bruno fag boy you love me,1
i must be a bitch you are sike naw this why we always beefing,1
down 61 yankee look to rally in the bottom of the 9thrallycap,2
dont take advantage of a nice person hoe every juan,1
happy birthday bitch nigga thanks pal,1
sad knowing that most hoe wont fuck with you bc you a int got stack wait till friday,1
cinco shit harder fuccniggayeebutyoufuccw it rich homie cuzdatsyahomeboyfuccnicc a,1
ewww i said that last sunday a in the last sunday i wa there read it again n ig,1
i only punch real nigga in the face cause a pussy nigga is gonna punch me right back strong mush or shake,1
my pussy still fresh lt some thing tank girl say,1
as slapping is one the greatest thing haha i slapped a girl on the as she got madia int get pussy for a week,1
yeah texan are so much better you fucking retard i see that your e mad about this,1
nd wtf is up with dark bitch with blonde please have several seat shoe looking like black mild s out here,1
theresa lane some bitch need to stay in the left n getright the fuck outta our face,1
i hate when boy deny that they have bitch smh,1
yan ig out there still saying yall dont eat butt with a straight face,1
ima bos as bitch that need to sit in a corner,1
hesa hoe i cant,1
me and paul think in bout gettin rental ford a weekend oooh shit bitch betta stay out da street,1
bitch hold they nigga down when he get locked up but if a nigga go to college or the military it a different story,1
why do my friend hate me because you a ratchet hoe,1
no love for these fuck nigga shoe,1
hot meat sexy a fuck scally ladi would love to meet him and his trainer,1
sniff per ved up scally lad fuck yeah,1
these bitch love sosa,1
i legit watched it for about 30or40secondssodidiwtf prob cause were retarded smh,1
what should i name my cat idea mr pussy,1
woof woof sexy thug boy cally,1
u see the damn phone ringing when you married bitch make demand you havent called me,1
tevin is my favorite sophomore i think he s so funny he really not lmao oh e a little hoe,1
10 sex position naw this what u call fucking the soul outta bitch,1
is bored supposed to be cute you faggot sometimes,0
one man trash is another man s treasure,2
i dont got no type bad bitch is the only thing i like ion got no type,1
lassen cc the coach want me i feel it youll get more my nig no doubt,0
god teeth gold chain white bitch cocaine,1
itsmehoeitsmehoeshhhhh,1
in dc we call them roller inch iraq we call them thots all across america they have been known a a hoe,1
im gonna miss that bitch of a bus driver no you wont dont lie,1
hate when bitch try and put you in the friend zone bitch im tryin to score put me in the end zone on my soul,1
ashley young ha tried to deny that bird landed in his mouth gt hahaha,2
yall both gimp edu paint tht a bitch huh lol,1
take me for a ride redneck woof woof,2
ohmygod i love victoria mitchell all my bitch love me,1
that long distance shit wack i knew the bitch wa cheating uh oh,1
he doing it right no bitch smh,1
they band at pussy for life hegottapay25millon dollar fine,1
rose are red and violet are blue and nigger are black you know that s true,1
sitting on my windowsill window open bird try to fly in smacked it protect the animal,2
but a nigga gon be a nigga be a nigga you sound fuckin retarded,1
a video an entire medium will likely mock i am such a crybaby,2
im not even shystfukikismomhi angelique angelique smile dip cracker in soup,1
tim tebow got cut from every team he wa on in the nfl and he already got more hoe than me in starkville smh,1
karma is a bitch damn god protects his angel sip tea,1
fuckin hot gym pussy fuck yeah,1
jihadi patron hajjaj ala jmi is arrested at kuwait airport,2
you can call me fireman cause i turn the hoe on,1
i could never have abbybyalildickthtsyigota abortion by the last bitch ohmygod,1
watch woman try to argue with me like they have a dick and actually fucked some pussy before i hate when bitch do that,1
and smoke weed in public fuck cop man do what you wanna do they dont own you run if they come are you retarded,1
tweety bird tho,2
my pussy sweet like watermelon tho term elon,1
when twitter rapper dm me their trash link,2
loud bitch annoy me,1
eventually every bitch turn into that hoe tru uu,1
i swear i foo mf try talking to me tomorrow pussy,1
you bitch be pretending to be tf crazy you a int never lied,1
kbyehoeumbye,1
jackies a retard blonde problem at least i can make a grilled cheese,0
ima keep on giving these pussy as nigga ah reason to hate,1
photo he is insole heaven,2
stacey dash won baddest bitch eva aaa,0
side bitch sunday,1
fact what bald headed bitch made this shit lmao,1
fuckwit u and then we tweak in hoe h murda,1
we actin like it sthe7thdayspook,2
ill break that lil bitch neck and wont even feel sorry about it savage,1
this is so fucking hot scally sneaker sex sock fetish sniff trainer sex love me some kinky sc ally,1
yall dumbass nigga be so pressed to have hoe yall weak a fuck a fuck weed over hoe oreo too,1
i can turn yo bitch into a eater rrrr rrrr,1
i dont trust desehoesnikkitold51st where i stay at all my fan screenshot asap we finna come to ch iraq and shoot umn,1
aye yall ima try out for the bowling team fr fr tryout passed thon other e two more retard,1
now u got what u want bitch enjoy it now this is a crazy party i would love to attend,1
colored contact in your eye blinder on mine cause i cant see you at all lmao,2
fact only the dude with hoe say they dont go thoes,1
imre a start smacking bitch period bluff in at it best,1
life a bitch and then you die thats why we get high cause you neva know when your e gonna go my sister is perfect,1
one of u is on drug and it me but your e still wrong hahahahahaha him a bitch sometimes,1
im feeling pretty fuckin ghetto smh,1
swearsim1man easily easily behind austin nip,2
this is a true ride or die bitch what the fuck hahahahah,1
hg well and charlie chaplin history photography,2
all isee is bruno bitch as on my twitter now wtf bruno all that she see drake voice,1
im about to cool faggot chill tf is cool nigga,1
im so sure bitch frf rtf,1
twitter is not a source of news broadcast you fucking retard it is when nbc abc cnn fox etc are all keeping quiet,1
got a couple bitch saying they know me but ima let the money talk for me and im like w wyd,1
grudge are for weirdo and bitch,1
it old mariam to but cigarette for her birthday you also called me trash rn,2
brownie tonight what kind,2
no text back i dont give a fuck ill text another bitch damn someone is hurt lol,1
ummmm mm okay you got hoe from left to right do yah thang,1
using ymx b to find the slope of that as,1
fit lad nice gear these scally lad n trainer would get it,2
hell yeah bro fuck yeah sexy scally ladin hot gear,1
helping out a mate i love scally play fuck yeah,1
lad being lad fuck yeah i love scally lad action hot trainer too,1
next year bitch is gonna be like you gotta promise you wont expose me,1
so hot rtlickitbitch8221fuckyea heat that trainer u dirty fucker,1
yall think celebrity pussy different from the local yeah meghan good is,1
is awana jumma walk out in the beginning saying wow this is so trash that i cant even listen to it lmao o,2
need these sox fuck yeah i love a kinky scally la dw rank sox and sneak,1
i dont ever expose female like that thats childish bitch nigga hi iii,1
yass s try new thing with best friend bitch who do you love,1
dude remember this wop video omg where did you find that,2
thick raw fuck damn his man pussy is getting a workout,1
rawrr t my sexy french scally i love him french scally sexy scally woof woof,2
nothin in life is free some of you bitch need to write that on ya panty,1
if one of you bitch want some of my burrito u can catch me at potosi no huh haha,1
nigga whole hoe out here cuz couldnt had said it better,1
hardcore way to eat mac and cheese 1boilwater2snort cheese powder 3drinkboilingwater4fuck bitch,1
your e not my type if my fade is perpetually fresher than yours thats a real as bitch rite there,1
annoying bitch that i love judy anns so pretty,1
lmao bitch got on some huggies,1
hi bitch no bitch bye bitch,1
doe he look like a bitch,1
chase money not hoe,1
cant stand a i dont know what i want as nigga bitch,1
im on my way love a chav hot sexy scally fucker,1
these newly gay bitch dont kno how shit work,1
when a bitch dont want a real job they just become stripper lol lol,1
awww meat meat in his feelin sia in nn my feeling bitch,1
i want snakebite my industrial pier cina tattoo dem hoe accessory de a,1
baby albino,2
these hoe saint loyal,1
yass sss ordered chinese bitch you just ate taco you fat fuck,1
i made that bitch lunch bitch love lunch,1
a no brainer but a soon a this bitch get rich in political power her view will change political whore 8221,1
a pussy a day keep the devil away,1
a int that about a bitch what doe that mean,1
all these bitch want a baby i dont want no child,1
and bitch you must be lost,1
baby i like being on your left side no bitch you cant be there cuz the street on that side and twitter said ia int real if you do,1
bae sound like such a ghetto word use something else,2
batter the wee cunt jew is ycos he fucked my ex emma isnt battering the girl ive nailed ive moved on stop being a pussy n do it urself,1
bleed out hoe alexa,1
bool in in the bandow it a few bitch,1
brownie for my brownie i love this movie,2
but i need a bad bitch thats hotter than me might be there a list shit party next door ever said that show i be feel in every day,1
by the way we do punch bitch,1
caesar is home there so much this bitch look like let start with apeshit,1
chinese maverick we were communicating comrade u know giving the imperialist yank the birdie,2
dad say hi to my snap chat d adduces bitch,1
do you believe these hoe are not in fact loyal i disagree with that i do believe they are in fact the loyal est bunch these hoe,1
dont know no ugly bitch dont know no broke nigga,1
dont make me make you fall in live with a nigga like meeethebirds12 are my favorite song by week nd,1
dont worry about the nigga you see worry about the nigga you dont see dat sd a nigga fuckin yo bitch,0
dont you ever give my pussy a way you keep it tight alright,1
dropped a stack cause bitch i mon song called dope download the mixtape here,1
dumb bitch do dumb thing,1
eat the pussy like a real nigga hungry,1
eff it let go after the cripple,1
everything look better with a bitch next to it,1
facto who care if you a hoe when your as look like this,1
for every bad bitch there is a nigga tired of fucking her,1
foreign chick no lie man that bitch beautiful,1
fresh nigga so you kno i need a clean bitch who kno im working cuz i wanna see my team rich,1
fuck50i make my own rule suck my dragonball s bitch call me goku,1
generate ascii box with node j salli see is the ability to bring flappy bird in node via ascii tube and bird,2
get me that shit bitch you is fine bear,1
get your as back to detroit ya fuckin wigger,1
girl that idateditsokayiaintmadyo unless you stabbed me in the heart no love hoe,1
how do you know my twitter password bitch please,1
have you seen my show have you seen my hoe if i wasnt hot would they be so thick,1
he a bitch for hitting that hoe,1
he married to a white woman lucky sum bitch uncle ruckus,1
he wannabe my nigga but im just t rinna be his saving account omg imma funny as bitch man but thats real shit,1
her great grandma a hoe her grandma a hoe her mom and a hoe and she sa hoe it a long line of hoe grandpa carl everyone,1
hey go look at that video of the man that found the kidnapped girl in ohio what a nigger hit my bos say,0
hey pussy you still there,1
how about we draft all those gung ho folk and send them to afghanistan or other war zone so they can show their,2
how hotter than is it a bitch,1
how u talking to hoe bout bron em why you talking to hoe bout bron em,1
how you doing crazy bitch is hilarious,1
i know my shoe dirty a fuck whatever bitch you dont have to call like negro one of the first thing they look at is shoe dog,1
i am a thrill billy with a hillbilly heart hahahahaha jesus murphy,2
i call him my bitch,1
i cant handle no liquor but these bitch cant handle mee edd chief sosa,1
i dont chase after dude i chase after bitch edgar bautista,1
i dont love these hoe baby it me and you forever,1
i dont even need a picture of tamar that bitch is beat in every picture,1
i dont have hoe,1
i found a new way to chug you have to open your mouth a lot shit ally say,2
i fucking hate that bitch so much i wanna smack her in the face then tongue kiss her,1
i got a bitch set it off like jada picket queen latifah you riding round with your niece bitch you titi,1
i got a sister she told me stop calling woman bitch,1
i guess this is the night bitch die stewie is that nigga,1
i had a bitch that had a bitch had the bitch eating halibut fresh rhyme jerk squad slow stir,1
i have this lady love shes married but i still wanna bang her she wont have sex with me what a bitch a troubadour probably,1
i heard you wa looking for candyman bitch,1
i hope you dont get mad lady i only call you bitch bitch bc i dont know your name individually katt williams,1
i just got a number 3imabitchboy,1
i know that shiteating rin you either just fucked the girl of your dream or you sold a car we know your e a faggot what d you sell,1
i only be with older men cause they re more mature that supposed to fool u bitch,1
i prolly leave up out this bitch with my cup in my hand and yo hand in my other hand,1
is aid i dont like it it taste like wolf pussy what how do you even know what that taste like,1
i taught myself how to eat pussy and cut my own hair i taught myself how to eat pussy hair name the movie,1
i used to dress up like a cop to ooh really yeah right after 911mad pussy really yes ill never forget,1
i went to jail for a flock came home wit a strike you went to jail a a bitch came home a a dike,1
i will fuck u where u stand u dizzy bitch two unique separate phrase i overheard a relative saying when i wa younger,1
i woke up like thi bitch go back to bed,1
i would rather you call me bitch than sir my manager,1
ill beaton that pussy so hard,1
ill slit your throat neck,2
im a funky as hon key shout out to tonight before cabaret jt2020tour,1
im comparing kfc to the pussy,1
im downloading you a new personality and ordering you a new face you bitch i love you goddamnit axl rose yelling at his sex robot,1
im feelin like malcolm in the middle these bitch surround me they cant miss em,1
im gonna piss on your dimple stop wasting prayer on trash team lol,1
improbably your main bitch chocolate dipped cinnamon apple,1
im sick of his shit mansi this bitch assimfedupbrortgenothrew yet another pick mh,1
im sorry i fucked yo bitch but she really dig a nigga,1
ibs irritable bitch syndrome,1
if you love her then hide yo bitch so youll keep shorty,1
if you talk back to me you a int getting no pussy me,1
if youre a bad bitch put your hand up high every girl in the room start waving there hand around,1
imma tie that bitch up in the basement and donkey fuck her as for two week straight hahahahahahahaha ha50cent movie before i self destruct,1
in my mind gotta be the dumb hoe anthem,1
is that an albino mexican nod adhes asian,2
it take a true direction er to accept larry you know what bitch it fan like you that make the boy cry thank you paul for confirming larry,1
it allegation were u in the bedroom did u see it word of a naive blind bitch we know ur husband cheated on u ramona is dumb,1
it never too late to tag a bitch,1
it the dyke hunter dyke with a dyke,1
julia robert your e aho notting hill,1
just follow the yellow brick twitter,2
lmfaooooooooooooooooooif your pussy is good but my mama dont like you guess who gotta go my mama,1
lol cripple wendy davis scientist create remote controlled chick to study shy penguin,2
let do nip ahoy and spank me may be,1
let skill cracker baby wtf did i just hear wow,0
like correct me if im wrong but doesnt pimpin involves mackin bitch for money,1
lmao pound cake look like pussy,1
lmao the d rose adidas are lighter than my phone shit is retarded,1
mamre nedoetinhaarrolnetofzeon gestel dis wat is on gestel dv and at soort vragen waar jedenkthoelegikdieweeru it,2
maybe she want to be more than your friend or maybe she sa stupid bitch you never know until you make her cum,1
mine play dmx and kirk franklin smh well my neighbor are ghetto they get upatlike5am and beat their kid,2
my grandma used to call me a porch monkey all the time come to think of it he did refer to a broken bottle a a nigger knife,0
my momma told me to tell you to mindy oooo damn moth a fuckin business you22 not know in what it is bitch,1
my nip are free eee zing and thats not okay because they re slicing through my bra,1
my twitter wa hacked imtoo pussy to admit that i said it and now i want to act like i never said it,1
nah girl iain tg on be able to make it it been tight since rus loss his job you in the back like damn bitch really,1
nahitsyouyoithoughtsome1 photoshopped my face on that faggot mmf hi hate yall,0
new flame the song of the yr lol that bitch super run like,1
nigga always yelling fuck bitch get money meanwhile theyre broke and still want the bitch,1
nigga be pressed for pussy eeee een nothin,1
no bitch nan,1
no boat and hoe please thanks mom,1
ovo kendrick lamar still trash,2
on top of that she just a pregnant as sorry hoe a int never got no money even her water broker ip tall t,1
only a couple of red sox have gotten past first base im dying laughing may be the yank need to teach them some game,2
our people now is the time for the aryanrace2 stand up and say no more before them on gerls turn the world into a ghetto slum1488,0
pistol whip my dickau shoot yo bitch club up sometimes freestyle be free style and im okay with that,1
it for me please and thanks did a pierced pussy just come across my timeline,1
remy machiavelli send shot toy a belly my bitch,1
roberto you are one nasty hoe,1
